6.0, 5°,11°,10°,11°,5°,1°,1°,12°,8°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,00:01:27:30:10:20
4.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:18:42:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:20:52:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:23:02:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:25:14:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:27:24:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:29:34:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:31:43:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:33:53:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:36:04:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:38:14:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:40:23:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:42:33:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:44:44:30:10:20
4.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:46:54:30:10:20
4.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:49:04:30:10:20
4.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:51:14:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:53:23:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:55:34:30:10:20
4.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:57:49:30:10:20
4.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,06:59:59:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:02:09:30:10:20
4.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:04:20:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:06:29:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:08:39:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:10:50:30:10:20
4.812, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:13:00:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:15:10:30:10:20
4.75, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:17:20:30:10:20
4.812, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:19:30:30:10:20
4.812, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:21:40:30:10:20
4.875, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:23:50:30:10:20
4.937, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:26:00:30:10:20
5.0, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:28:10:30:10:20
5.062, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:30:20:30:10:20
5.125, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:32:31:30:10:20
5.187, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:34:41:30:10:20
5.312, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:36:51:30:10:20
5.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:39:00:30:10:20
5.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:41:11:30:10:20
5.5, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:43:21:30:10:20
5.562, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:45:31:30:10:20
5.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:47:41:30:10:20
5.625, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:49:51:30:10:20
5.437, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:52:01:30:10:20
5.687, 3°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:54:11:30:10:20
5.687, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:56:21:30:10:20
5.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,07:58:31:30:10:20
5.5, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:00:42:30:10:20
5.312, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:02:52:30:10:20
5.375, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:05:02:30:10:20
5.437, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:07:12:30:10:20
5.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:09:22:30:10:20
5.812, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:11:33:30:10:20
5.937, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:13:43:30:10:20
6.062, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:15:53:30:10:20
5.875, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:18:03:30:10:20
5.687, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:20:13:30:10:20
5.5, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:22:23:30:10:20
5.375, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:24:33:30:10:20
5.25, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:26:43:30:10:20
5.25, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:28:53:30:10:20
5.187, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:31:03:30:10:20
5.312, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:33:13:30:10:20
5.437, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:35:23:30:10:20
5.437, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:37:33:30:10:20
5.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:39:44:30:10:20
5.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:41:54:30:10:20
5.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:44:04:30:10:20
5.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:46:14:30:10:20
5.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:48:24:30:10:20
5.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:50:34:30:10:20
5.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:52:44:30:10:20
5.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:54:54:30:10:20
5.75, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:57:04:30:10:20
5.875, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,08:59:15:30:10:20
6.125, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:01:24:30:10:20
6.187, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:03:34:30:10:20
6.25, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:05:44:30:10:20
6.312, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:07:55:30:10:20
6.25, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:10:05:30:10:20
6.312, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:12:15:30:10:20
6.312, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:14:25:30:10:20
6.5, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:16:35:30:10:20
6.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:18:45:30:10:20
6.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:20:55:30:10:20
6.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:23:05:30:10:20
6.562, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:25:15:30:10:20
6.625, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:27:26:30:10:20
6.687, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:29:36:30:10:20
6.937, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:31:46:30:10:20
7.0, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:33:56:30:10:20
7.125, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:36:06:30:10:20
7.062, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:38:16:30:10:20
6.875, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:40:26:30:10:20
6.937, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:42:37:30:10:20
6.937, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:44:46:30:10:20
7.062, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:46:57:30:10:20
7.312, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:49:07:30:10:20
7.25, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:51:17:30:10:20
7.375, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:53:27:30:10:20
7.312, 4°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:55:37:30:10:20
7.437, 5°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:57:47:30:10:20
7.437, 5°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,09:59:57:30:10:20
8.062, 5°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:02:07:30:10:20
8.562, 5°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:04:17:30:10:20
8.812, 5°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:06:28:30:10:20
9.0, 5°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:08:38:30:10:20
8.687, 5°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:10:48:30:10:20
8.375, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:12:58:30:10:20
8.25, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:15:09:30:10:20
8.375, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:17:19:30:10:20
8.312, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:19:29:30:10:20
8.312, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:21:39:30:10:20
8.5, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:23:49:30:10:20
8.812, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:25:59:30:10:20
8.812, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:28:09:30:10:20
8.937, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:30:19:30:10:20
8.812, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:32:29:30:10:20
8.875, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:34:40:30:10:20
8.875, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:36:50:30:10:20
8.937, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:38:59:30:10:20
8.812, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:41:09:30:10:20
8.812, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:43:20:30:10:20
8.812, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:45:30:30:10:20
8.875, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:47:40:30:10:20
8.875, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:49:50:30:10:20
8.75, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:52:02:30:10:20
8.937, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:54:12:30:10:20
9.0, 6°,11°,11°,5°,1°,3°,10°,9°,8°,9°,12°,10°,10°,10°,15°,11°,11°,10°,8°,7°,7°,10:56:22:30:10:20
8.75, 6°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,10:58:32:30:10:20
8.812, 6°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:00:43:30:10:20
8.812, 6°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:02:53:30:10:20
8.875, 6°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:05:03:30:10:20
9.062, 6°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:07:13:30:10:20
9.125, 6°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:09:23:30:10:20
9.062, 6°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:11:34:30:10:20
8.937, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:13:44:30:10:20
8.937, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:15:54:30:10:20
9.25, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:18:04:30:10:20
9.437, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:20:14:30:10:20
9.625, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:22:25:30:10:20
9.5, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:24:35:30:10:20
9.312, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:26:45:30:10:20
9.437, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:28:55:30:10:20
9.312, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:31:06:30:10:20
8.875, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:33:16:30:10:20
8.812, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:35:26:30:10:20
8.812, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:37:36:30:10:20
9.125, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:39:47:30:10:20
9.437, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:41:57:30:10:20
9.687, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:44:07:30:10:20
9.562, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:46:17:30:10:20
9.25, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:48:27:30:10:20
9.187, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:50:38:30:10:20
9.187, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:52:48:30:10:20
9.062, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:54:58:30:10:20
9.0, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:57:08:30:10:20
9.062, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,11:59:19:30:10:20
9.25, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:01:29:30:10:20
9.312, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:03:39:30:10:20
9.562, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:05:49:30:10:20
9.0, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:08:00:30:10:20
8.875, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:10:10:30:10:20
8.875, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:12:20:30:10:20
8.75, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:14:30:30:10:20
8.562, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:16:40:30:10:20
8.437, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:18:51:30:10:20
8.312, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:21:01:30:10:20
8.187, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:23:11:30:10:20
8.312, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:25:21:30:10:20
8.312, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:27:32:30:10:20
8.375, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:29:42:30:10:20
8.625, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:31:52:30:10:20
8.625, 7°,10°,11°,12°,5°,1°,1°,11°,9°,8°,9°,13°,10°,9°,9°,16°,12°,10°,11°,9°,7°,12:34:02:30:10:20
